lane	rank	song_a_title	song_a_artist	song_b_title	song_b_artist	tests	hypothesis	why_this_matters	diagnostic_weight	curation_status
pop	11	Since U Been Gone	Kelly Clarkson	Thank U, Next	Ariana Grande	energy|hope|verbal_cleverness	cathartic blast vs poised reframing	Separates explosive release from clever emotional control.	85	draft_elite
pop	12	Lights Up	Harry Styles	Chandelier	Sia	atmosphere|energy|authenticity	soft self-reveal vs desperate vocal force	Tests whether vulnerability feels stronger whispered or shouted.	84	draft_elite
pop	13	Get Lucky	Daft Punk feat. Pharrell Williams	Call Me Maybe	Carly Rae Jepsen	groove|melody|community	sensual groove vs pure hook immediacy	Tests whether the user rewards body-led polish or instant melodic payoff.	86	draft_elite
pop	14	Bury a Friend	Billie Eilish	Into You	Ariana Grande	darkness|energy|groove	uncanny darkness vs aerodynamic desire	Separates attraction to strange texture from attraction to pop propulsion.	88	draft_elite
pop	15	Royals	Lorde	We Found Love	Rihanna feat. Calvin Harris	verbal_cleverness|community|energy	minimal social critique vs mass euphoria	Tests whether pop should withhold or overwhelm.	86	draft_elite
pop	16	Running Up That Hill	Kate Bush	Like a Prayer	Madonna	transformation|romanticism|community	mystical bargain vs communal revelation	Tests whether transcendence is private, strange, and internal or public and anthemic.	93	draft_elite
pop	17	Good 4 U	Olivia Rodrigo	Watermelon Sugar	Harry Styles	energy|darkness|hope	resentful velocity vs sunny sensuality	Separates jagged emotional charge from frictionless pleasure.	84	draft_elite
pop	18	Billie Jean	Michael Jackson	Material Girl	Madonna	groove|darkness|verbal_cleverness	paranoid groove vs glittering persona	Tests whether the user prefers tension under the bassline or surface-level pop theater.	89	draft_elite
pop	19	Paparazzi	Lady Gaga	Love Story	Taylor Swift	romanticism|darkness|melody	fame-as-romance vs storybook romance	Tests whether the user prefers romance with menace or romance with clarity.	83	draft_elite
pop	20	Nothing Compares 2 U	Sinead O'Connor	Firework	Katy Perry	authenticity|hope|energy	stark grief vs inspirational lift	Tests whether emotional truth should remain raw or become communal uplift.	88	draft_elite
hip_hop	1	Money Trees	Kendrick Lamar	N.Y. State of Mind	Nas	atmosphere|authenticity|groove	atmospheric drift vs street realism	Tests whether the user rewards mood-world and memory or documentary precision.	94	draft_elite
hip_hop	2	Runaway	Kanye West	HUMBLE.	Kendrick Lamar	authenticity|energy|darkness	vulnerability vs command	Separates self-indictment from dominance as the source of power.	95	draft_elite
hip_hop	3	Devil in a New Dress	Kanye West	Gin and Juice	Snoop Dogg	atmosphere|groove|romanticism	luxury immersion vs social ease	Tests whether the user prefers opulent slow-burn mood or effortless groove.	92	draft_elite
hip_hop	4	Sing About Me, I'm Dying of Thirst	Kendrick Lamar	C.R.E.A.M.	Wu-Tang Clan	transformation|authenticity|nostalgia	moral narrative vs survival realism	Tests whether the user rewards spiritual reckoning or hard-earned economic truth.	96	draft_elite
hip_hop	5	Stan	Eminem	Alright	Kendrick Lamar	darkness|hope|community	obsessive darkness vs collective survival	Separates fascination with collapse from belief in communal lift.	93	draft_elite
hip_hop	6	Shook Ones Pt. II	Mobb Deep	Juicy	The Notorious B.I.G.	darkness|hope|authenticity	threat realism vs aspirational triumph	Tests whether grit or uplift feels more truthful.	91	draft_elite
hip_hop	7	93 'til Infinity	Souls of Mischief	Still D.R.E.	Dr. Dre feat. Snoop Dogg	groove|community|energy	loose cypher ease vs polished authority	Separates open-circle flow from cinematic command.	86	draft_elite
hip_hop	8	Ms. Jackson	Outkast	Lose Yourself	Eminem	melody|authenticity|energy	melodic apology vs pressure-cooker ambition	Tests whether the user chooses emotional complication or maximum stakes.	87	draft_elite
hip_hop	9	Can I Kick It?	A Tribe Called Quest	X Gon' Give It To Ya	DMX	groove|community|energy	laid-back communal groove vs confrontational force	Separates conversational cool from physical impact.	85	draft_elite
hip_hop	10	The Message	Grandmaster Flash & The Furious Five	California Love	2Pac feat. Dr. Dre	authenticity|darkness|community	social witness vs celebratory regional anthem	Tests whether hip-hop's power comes from warning or celebration.	90	draft_elite
hip_hop	11	Alright	Kendrick Lamar	Sicko Mode	Travis Scott	hope|complexity|community	collective resilience vs modular spectacle	Tests whether the user rewards moral lift or structural thrill.	88	draft_elite
hip_hop	12	Electric Relaxation	A Tribe Called Quest	Back That Azz Up	Juvenile	groove|romanticism|community	smoky flirtation vs party command	Separates subtle swing from direct social release.	84	draft_elite
hip_hop	13	Doo Wop (That Thing)	Lauryn Hill	Bodak Yellow	Cardi B	verbal_cleverness|authenticity|energy	wisdom and melody vs blunt self-assertion	Tests whether confidence should teach, sing, or dominate.	87	draft_elite
hip_hop	14	One Mic	Nas	In Da Club	50 Cent	authenticity|energy|complexity	escalating testimony vs bulletproof celebration	Separates narrative pressure from pure charisma.	86	draft_elite
hip_hop	15	Passin' Me By	The Pharcyde	Hotline Bling	Drake	nostalgia|melody|romanticism	awkward memory vs controlled melancholy	Tests whether romantic ache should feel unguarded or curated.	83	draft_elite
hip_hop	16	Protect Ya Neck	Wu-Tang Clan	Work It	Missy Elliott	energy|verbal_cleverness|community	crew chaos vs playful precision	Tests whether verbal pleasure comes from swarm intensity or elastic wit.	86	draft_elite
hip_hop	17	They Reminisce Over You	Pete Rock & CL Smooth	No Role Modelz	J. Cole	nostalgia|authenticity|community	elegiac memory vs self-made defiance	Separates tribute and grief from skeptical independence.	84	draft_elite
hip_hop	18	Changes	2Pac	Mo Money Mo Problems	The Notorious B.I.G.	hope|community|darkness	social lament vs glossy contradiction	Tests whether the user wants the pain named directly or smuggled through celebration.	88	draft_elite
hip_hop	19	Dear Mama	2Pac	Power	Kanye West	authenticity|romanticism|energy	tender testimony vs imperial ego	Tests whether the user trusts vulnerability and gratitude or domination and scale.	88	draft_elite
hip_hop	20	Pursuit of Happiness	Kid Cudi	Mask Off	Future	dreaminess|darkness|groove	lonely transcendence vs narcotic groove	Separates wounded uplift from hypnotic numbness.	89	draft_elite
electronic	1	Windowlicker	Aphex Twin	Born Slippy .NUXX	Underworld	complexity|energy|groove	experimentation vs catharsis	Tests whether the user rewards alien design or communal release.	94	draft_elite
electronic	2	Teardrop	Massive Attack	Firestarter	The Prodigy	atmosphere|energy|darkness	suspended atmosphere vs kinetic aggression	Separates floating tension from bodily attack.	93	draft_elite
electronic	3	One More Time	Daft Punk	Halcyon and On and On	Orbital	community|dreaminess|groove	communal joy vs endless drift	Tests whether transcendence should be shouted together or dissolved into.	91	draft_elite
electronic	4	Unfinished Sympathy	Massive Attack	Insomnia	Faithless	romanticism|energy|atmosphere	soulful sweep vs restless drive	Separates emotional grandeur from nocturnal momentum.	90	draft_elite
electronic	5	Strobe	Deadmau5	Levels	Avicii	transformation|hope|community	slow-build transformation vs instant festival lift	Tests patience for gradual ascent against appetite for immediate release.	88	draft_elite
electronic	6	Rez	Underworld	Go	Moby	movement|groove|melody	pure propulsion vs hook-led rave memory	Separates motorik trance from melodic recognition.	86	draft_elite
electronic	7	Archangel	Burial	Around the World	Daft Punk	darkness|dreaminess|groove	ghostly intimacy vs mechanical groove	Tests whether repetition should haunt or celebrate.	91	draft_elite
electronic	8	Porcelain	Moby	Block Rockin' Beats	The Chemical Brothers	dreaminess|energy|atmosphere	melancholic float vs breakbeat impact	Separates reflective drift from muscular force.	86	draft_elite
electronic	9	Pacific State	808 State	Blue Monday	New Order	atmosphere|groove|movement	balearic atmosphere vs machine anthem	Tests whether the user follows open-air mood or iconic synthetic drive.	87	draft_elite
electronic	10	Little Fluffy Clouds	The Orb	Smack My Bitch Up	The Prodigy	dreaminess|energy|complexity	ambient surrealism vs shock impact	Separates playful disorientation from aggressive intensity.	84	draft_elite
electronic	11	Midnight City	M83	Everything in Its Right Place	Radiohead	melody|atmosphere|complexity	neon hook vs alien atmosphere	Tests whether synthetic emotion should resolve into anthem or remain unsettling.	89	draft_elite
electronic	12	Silent Shout	The Knife	We Are Your Friends	Justice vs Simian	darkness|community|energy	cold menace vs indie-dance communion	Separates private unease from social voltage.	85	draft_elite
electronic	13	Hyperballad	Bjork	Star Guitar	The Chemical Brothers	transformation|movement|melody	emotional ritual vs visual-motion pattern	Tests whether the user connects through storylike ritual or pure forward motion.	87	draft_elite
electronic	14	Only You	Portishead	D.A.N.C.E.	Justice	darkness|community|groove	shadowed groove vs bright communal play	Separates noir seduction from pop-dance release.	85	draft_elite
electronic	15	Chime	Orbital	Sandstorm	Darude	movement|energy|complexity	evolving rave architecture vs instant kinetic hook	Tests whether motion should unfold or detonate.	83	draft_elite
electronic	16	Roygbiv	Boards of Canada	Windowlicker	Aphex Twin	nostalgia|complexity|dreaminess	warm memory vs warped invention	Separates analog nostalgia from abrasive curiosity.	88	draft_elite
electronic	17	Inner City Life	Goldie	Children	Robert Miles	atmosphere|hope|movement	urban ache vs melodic uplift	Tests whether electronic emotion should carry grit or glow.	86	draft_elite
electronic	18	Breathe	The Prodigy	Angel	Massive Attack	darkness|energy|groove	punk-electronic attack vs slow menace	Separates immediate aggression from controlled dread.	87	draft_elite
electronic	19	Glue	Bicep	Inspector Norse	Todd Terje	nostalgia|hope|community	rave memory vs sunny disco optimism	Tests whether euphoria should ache backward or smile outward.	84	draft_elite
electronic	20	Xtal	Aphex Twin	Cowgirl	Underworld	dreaminess|movement|atmosphere	ambient shimmer vs driving trance	Separates headphone suspension from dance-floor propulsion.	89	draft_elite
classic_rock	1	Gimme Shelter	The Rolling Stones	Kashmir	Led Zeppelin	darkness|energy|romanticism	apocalyptic tension vs monumental scale	Tests whether grandeur should feel dangerous or mythic.	95	draft_elite
classic_rock	2	Dreams	Fleetwood Mac	Baba O'Riley	The Who	groove|community|romanticism	glide/intimacy vs anthemic youth	Separates private cool from communal ignition.	91	draft_elite
classic_rock	3	Comfortably Numb	Pink Floyd	Born to Run	Bruce Springsteen	dreaminess|hope|energy	numb transcendence vs desperate escape	Tests whether the user chooses inward suspension or outward flight.	94	draft_elite
classic_rock	4	Go Your Own Way	Fleetwood Mac	Hotel California	Eagles	energy|darkness|melody	breakup velocity vs decadent unease	Separates emotional propulsion from cinematic entrapment.	88	draft_elite
classic_rock	5	Whole Lotta Love	Led Zeppelin	Bohemian Rhapsody	Queen	energy|complexity|romanticism	physical riff-force vs theatrical architecture	Tests whether scale comes through body or structure.	90	draft_elite
classic_rock	6	Fortunate Son	Creedence Clearwater Revival	Imagine	John Lennon	energy|hope|authenticity	angry directness vs idealist simplicity	Separates protest as attack from protest as dream.	87	draft_elite
classic_rock	7	Thunder Road	Bruce Springsteen	Landslide	Fleetwood Mac	hope|nostalgia|romanticism	romantic escape vs reflective acceptance	Tests whether memory should launch you forward or make you pause.	91	draft_elite
classic_rock	8	Black Magic Woman	Santana	Sweet Home Alabama	Lynyrd Skynyrd	groove|romanticism|community	sensual groove vs regional singalong	Separates hypnotic heat from communal identity.	84	draft_elite
classic_rock	9	Paranoid	Black Sabbath	More Than a Feeling	Boston	darkness|melody|energy	anxious heaviness vs polished nostalgia	Tests whether the user chooses dread or uplifted memory.	86	draft_elite
classic_rock	10	Like a Rolling Stone	Bob Dylan	All Along the Watchtower	Jimi Hendrix	verbal_cleverness|energy|authenticity	verbal indictment vs electric prophecy	Separates lyric-first revelation from guitar-driven vision.	92	draft_elite
classic_rock	11	Layla	Derek and the Dominos	Wild Horses	The Rolling Stones	energy|romanticism|authenticity	desperate romantic force vs bruised resignation	Tests whether heartbreak should chase or surrender.	88	draft_elite
classic_rock	12	Rebel Rebel	David Bowie	Space Oddity	David Bowie	energy|dreaminess|transformation	glam immediacy vs cosmic alienation	Separates style-as-attack from identity-as-distance.	87	draft_elite
classic_rock	13	American Girl	Tom Petty and the Heartbreakers	Riders on the Storm	The Doors	movement|atmosphere|darkness	restless motion vs haunted atmosphere	Tests whether the road means velocity or mystery.	86	draft_elite
classic_rock	14	Heart of Gold	Neil Young	Won't Get Fooled Again	The Who	authenticity|community|energy	plainspoken searching vs arena-scale refusal	Separates intimate sincerity from collective defiance.	87	draft_elite
classic_rock	15	The Chain	Fleetwood Mac	Free Bird	Lynyrd Skynyrd	transformation|community|energy	tension release vs extended liberation	Tests whether buildup should snap into drama or stretch into myth.	89	draft_elite
classic_rock	16	White Rabbit	Jefferson Airplane	Tiny Dancer	Elton John	dreaminess|melody|romanticism	psychedelic menace vs warm melodic sweep	Separates strange enchantment from open-hearted songcraft.	85	draft_elite
classic_rock	17	Wish You Were Here	Pink Floyd	You Really Got Me	The Kinks	nostalgia|energy|authenticity	absence and memory vs primal riff immediacy	Tests whether rock's truth is ache or impact.	88	draft_elite
classic_rock	18	Sympathy for the Devil	The Rolling Stones	Carry On Wayward Son	Kansas	verbal_cleverness|complexity|darkness	sly menace vs heroic complexity	Separates seductive evil from earnest epic.	84	draft_elite
classic_rock	19	Proud Mary	Tina Turner	House of the Rising Sun	The Animals	energy|darkness|transformation	embodied release vs fatalistic atmosphere	Tests whether transformation arrives through performance or dread.	87	draft_elite
classic_rock	20	Don't Stop Believin'	Journey	Paint It Black	The Rolling Stones	hope|darkness|community	communal hope vs total shadow	Separates singalong belief from attraction to darkness.	86	draft_elite
